HHID,tot_local_seed,tot_improved_seed,tot_manure,tot_compost,tot_fert_dap,tot_fert_urea,tot_fert_nps,tot_fert_lime,tot_fert_blended,total_value_hh,hhi_hh,number_of_crops,cei_hh,bp_hh,season_str,IRRIGATED_HH,merge_irrigation,Qn_9_9,post_action_taken,pre_action_taken,post_number_responded,pre_number_responded,number_of_shocks,merge_shock,experienced_shock,post_action_taken_nomissing,pre_action_taken_nomissing,number_of_soil_types,farm_area,total_owned_area,proportion_owned_area,plot_dist_avg,soil_fertility_num,soil_fertility_avg,soil_slope_avg,soil_erosion_avg,soil_fertility_wgt_avg,soil_slope_wgt_avg,soil_erosion_wgt_avg,merge_soil,Qn_0_1,Qn_1_1,Qn_1_2,Qn_1_3,Qn_1_4,Qn_1_5a,skip_meal_12mo,improved_stove,number_of_parcels,own_pump,ag_ins,other_income,electricity,latitude,longitude,elevation,kebele_for_survey_match,merge_wide,dist_to_ext_service,dist_to_vet,dist_to_grazing,dist_to_output_market,dist_to_input_market,dist_to_weekly_market,dist_to_daily_market,dist_to_all_weather_road,merge_comm,liv_total_value_hh,liv_hhi_hh,number_of_liv_types,sold_livestock_12mo,merge_liv,hh_head_age,hh_head_educ,hh_spouse_educ,highest_educ,merge_i_ii,number_of_farm_equipment,tot_farm_equipment_value,merge_equipment,gifts_transfers,assistance_govt_nongovt,tot_other_income,merge_other_income,elec_use_kwh_lastmonth,merge_elec,number_of_appliances,tot_app_value,merge_appliance,river_dist,lake_dist,dist_to_water_source,merge_water_dist,soil_ph,merge_ph,group,kebele,acc,kebele_for_shp_match,merge_sites,kebele_id,pop_dens_5x5,merge_pop_dens,koppen_zone,merge_koppen
1,15,0,0,0,0,0,0,0,0,60000,1,1,0,1,Meher,0,matched (3),Meher,0,0,0,0,1,matched (3),1,0,0,1,.5,.5,1,30,1,1,1,1,1,1,1,matched (3),Dry,Oromia,Arsi,Zeway Dugda,Golbe,Cafe kora,0,0,1,0,0,1,1,8.0602646,38.950939,1651.4,Golbe,matched (3),20,90,30,40,40,40,,,matched (3),,,,,master only (1),50,,,,matched (3),1,200,matched (3),0,1,3200,matched (3),0,matched (3),1,200,matched (3),2157.9624,1277.3053,1277.3053,matched (3),6.3000002,matched (3),Treatment,Golbe,1,Golbe,matched (3),12,148.9975,matched (3),Trop. Savan. (Aw),matched (3)
2,,,,,,,,,,,1,1,0,1,Belg,1,matched (3),,,,,,,master only (1),0,0,0,1,1,1,1,10,2,2,1,1,2,1,1,matched (3),Dry,Oromia,Arsi,Zeway Dugda,Golbe,Cafe kora,0,0,1,1,0,0,0,8.0631514,38.95142,1653.8,Golbe,matched (3),20,90,30,40,40,40,,,matched (3),44000,1,1,1,matched (3),54,5,,5,matched (3),5,1100,matched (3),,,0,matched (3),0,matched (3),1,0,matched (3),2477.2317,1424.2986,1424.2986,matched (3),6.3000002,matched (3),Treatment,Golbe,1,Golbe,matched (3),12,148.9975,matched (3),Trop. Savan. (Aw),matched (3)
2,0,24,0,0,0,0,0,0,0,6000000,1,1,0,1,Dry,1,matched (3),Dry,0,0,0,0,1,matched (3),1,0,0,1,1,1,1,10,2,2,1,1,2,1,1,matched (3),Dry,Oromia,Arsi,Zeway Dugda,Golbe,Cafe kora,0,0,1,1,0,0,0,8.0631514,38.95142,1653.8,Golbe,matched (3),20,90,30,40,40,40,,,matched (3),44000,1,1,1,matched (3),54,5,,5,matched (3),5,1100,matched (3),,,0,matched (3),0,matched (3),1,0,matched (3),2477.2317,1424.2986,1424.2986,matched (3),6.3000002,matched (3),Treatment,Golbe,1,Golbe,matched (3),12,148.9975,matched (3),Trop. Savan. (Aw),matched (3)
2,15,15,25,0,0,0,0,0,0,30000,1,1,0,1,Meher,1,matched (3),,,,,,,master only (1),0,0,0,1,1,1,1,10,2,2,1,1,2,1,1,matched (3),Dry,Oromia,Arsi,Zeway Dugda,Golbe,Cafe kora,0,0,1,1,0,0,0,8.0631514,38.95142,1653.8,Golbe,matched (3),20,90,30,40,40,40,,,matched (3),44000,1,1,1,matched (3),54,5,,5,matched (3),5,1100,matched (3),,,0,matched (3),0,matched (3),1,0,matched (3),2477.2317,1424.2986,1424.2986,matched (3),6.3000002,matched (3),Treatment,Golbe,1,Golbe,matched (3),12,148.9975,matched (3),Trop. Savan. (Aw),matched (3)
3,,,,,,,,,,,1,1,0,1,Belg,1,matched (3),,,,,,,master only (1),0,0,0,1,.2,.2,1,10,1,1,1,1,1,1,1,matched (3),Dry,Oromia,Arsi,Zeway Dugda,Golbe,Cafe kora,0,0,4,0,0,1,0,8.0640154,38.954746,1641.9629,Golbe,matched (3),20,90,30,40,40,40,,,matched (3),52000,1,1,0,matched (3),65,4,,4,matched (3),7,1480,matched (3),0,0,0,matched (3),0,matched (3),1,70,matched (3),2572.7891,1782.9274,1782.9274,matched (3),6.3000002,matched (3),Treatment,Golbe,1,Golbe,matched (3),12,148.9975,matched (3),Trop. Savan. (Aw),matched (3)
3,0,148,3400,0,100,0,0,0,0,5020000,.5,2,.5,2,Meher,1,matched (3),Meher,,0,0,0,1,matched (3),1,0,0,1,.2,.2,1,10,1,1,1,1,1,1,1,matched (3),Dry,Oromia,Arsi,Zeway Dugda,Golbe,Cafe kora,0,0,4,0,0,1,0,8.0640154,38.954746,1641.9629,Golbe,matched (3),20,90,30,40,40,40,,,matched (3),52000,1,1,0,matched (3),65,4,,4,matched (3),7,1480,matched (3),0,0,0,matched (3),0,matched (3),1,70,matched (3),2572.7891,1782.9274,1782.9274,matched (3),6.3000002,matched (3),Treatment,Golbe,1,Golbe,matched (3),12,148.9975,matched (3),Trop. Savan. (Aw),matched (3)
4,15,0,0,0,0,0,0,0,0,30000,1,1,0,1,Meher,0,matched (3),,,,,,,master only (1),0,0,0,1,.25,.25,1,30,1,1,1,1,1,1,1,matched (3),Dry,Oromia,Arsi,Zeway Dugda,Golbe,Liishaa kooraa,1,0,1,0,0,1,1,8.0602493,38.950966,1651.3,Golbe,matched (3),20,90,30,40,40,40,,,matched (3),200,1,1,0,matched (3),25,3,,3,matched (3),3,1500,matched (3),0,1,14400,matched (3),0,matched (3),1,300,matched (3),2156.2703,1279.4935,1279.4935,matched (3),6.3000002,matched (3),Treatment,Golbe,1,Golbe,matched (3),12,148.9975,matched (3),Trop. Savan. (Aw),matched (3)
5,25,65,0,0,0,0,0,0,0,12500,1,1,0,1,Meher,1,matched (3),,,,,,,master only (1),0,0,0,1,1.75,1.5,.85714287,23.333334,1,1,1,2,1,1,2,matched (3),Dry,Oromia,Arsi,Zeway Dugda,Hallo/Hogolcha,Qonxola,1,0,3,0,0,1,1,8.0548325,38.963886,1655,Hallo/Hogolcha,matched (3),10,15,,15,15,15,5,15,matched (3),200,1,1,0,matched (3),105,2,,3,matched (3),1,1,matched (3),0,1,3600,matched (3),0,matched (3),1,70,matched (3),1557.1998,2577.3696,1557.1998,matched (3),6.1999998,matched (3),Control(Non),Hallo/Hogolcha,0,Hallo/Hogolcha,matched (3),14,174.03992,matched (3),Trop. Savan. (Aw),matched (3)
5,20,0,0,0,0,0,0,0,0,60000,1,1,0,1,Dry,1,matched (3),Dry,1,0,2,0,3,matched (3),1,1,0,1,1.75,1.5,.85714287,23.333334,1,1,1,2,1,1,2,matched (3),Dry,Oromia,Arsi,Zeway Dugda,Hallo/Hogolcha,Qonxola,1,0,3,0,0,1,1,8.0548325,38.963886,1655,Hallo/Hogolcha,matched (3),10,15,,15,15,15,5,15,matched (3),200,1,1,0,matched (3),105,2,,3,matched (3),1,1,matched (3),0,1,3600,matched (3),0,matched (3),1,70,matched (3),1557.1998,2577.3696,1557.1998,matched (3),6.1999998,matched (3),Control(Non),Hallo/Hogolcha,0,Hallo/Hogolcha,matched (3),14,174.03992,matched (3),Trop. Savan. (Aw),matched (3)
6,0,82,400,0,50,0,0,0,0,2028000,.5,2,.5,2,Meher,1,matched (3),Meher,0,0,0,0,1,matched (3),1,0,0,1,.25,.25,1,15,1,1,1,1,1,1,1,matched (3),Dry,Oromia,Arsi,Zeway Dugda,Hallo/Hogolcha,Qonxola,0,0,2,0,0,1,1,8.0559826,38.961128,1642,Hallo/Hogolcha,matched (3),10,15,,15,15,15,5,15,matched (3),4000,1,1,0,matched (3),25,3,2,3,matched (3),5,1900,matched (3),0,1,5400,matched (3),0,matched (3),4,1090,matched (3),1684.3956,2282.8418,1684.3956,matched (3),6.3000002,matched (3),Control(Non),Hallo/Hogolcha,0,Hallo/Hogolcha,matched (3),14,174.03992,matched (3),Trop. Savan. (Aw),matched (3)
